Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot53,"wara",normal,22,Completed,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","01:23:40","01:26:50",
Bot53,"wara",normal,22,Failed,"Nothing Fishy About This","Zone q14_11_jeep","1","01:26:55","01:28:23",
Bot53,"wara",normal,22,Failed,"Eagle Eye","Item UAV SAS disk #2","1","01:28:28","01:29:11",
Bot50,"Colonel",normal,11,Pending,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","01:23:40","N/A",
Bot51,"KokaZ93",normal,3,Archived,"Crane","Crane: Objective #2","1","01:23:40","01:24:24",
Bot51,"KokaZ93",normal,3,Archived,"Crane","Crane: Objective #1","1","01:24:29","01:24:50",
Bot51,"KokaZ93",normal,3,Completed,"Weather Station","Weather Station: Objective #1","2","01:24:55","01:27:00",
Bot51,"KokaZ93",normal,3,Completed,"Weather Station Sniping","Weather Station Sniping: Objective #1","8","01:27:06","01:32:48",
Bot51,"KokaZ93",normal,3,Completed,"Weather Station Tower Sniping","Weather Station Tower Sniping: Objective #1","8","01:32:49","01:38:17",
Bot51,"KokaZ93",normal,3,Active,"Tank on Bridge","Tank on Bridge: Objective #1","1","01:38:18","N/A",
Bot52,"alias",normal,2,Archived,"Lighthouse Extract Sniper Area","Lighthouse Extract Sniper Area: Objective #1","1","01:23:41","01:24:02",
Bot52,"alias",normal,2,Completed,"Church","Church: Objective #1","1","01:24:08","01:25:22",
Bot52,"alias",normal,2,Pending,"Village","Village: Objective #1","1","01:25:27","N/A",
Bot52,"alias",normal,2,Pending,"Village","Village: Objective #2","1","01:28:01","N/A",
Bot52,"alias",normal,2,Completed,"Village","Village: Objective #3","1","01:29:02","01:29:14",
Bot52,"alias",normal,2,Pending,"Village","Village: Objective #5","1","01:29:20","N/A",
Bot52,"alias",normal,2,Completed,"Village","Village: Objective #4","2","01:30:25","01:31:06",
Bot52,"alias",normal,2,Completed,"Village","Village: Objective #6","1","01:31:11","01:31:53",
Bot52,"alias",normal,2,Pending,"Village","Village: Objective #7","1","01:31:58","N/A",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #1","1","01:32:41","01:33:30",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #7","1","01:33:36","01:34:13",
Bot52,"alias",normal,2,Failed,"Cabins","Cabins: Objective #4","1","01:34:18","01:35:24",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #2","1","01:35:29","01:35:43",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #5","1","01:35:48","01:36:19",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #3","2","01:36:24","01:37:13",
Bot52,"alias",normal,2,Completed,"Cabins","Cabins: Objective #6","1","01:37:18","01:37:40",
Bot52,"alias",normal,2,Completed,"Scav Island Sniping","Scav Island Sniping: Objective #1","2","01:37:45","01:39:23",
Bot52,"alias",normal,2,Active,"Scav Island Sniping","Scav Island Sniping: Objective #2","2","01:39:28","N/A",
Bot55,"agavalda",normal,12,Completed,"Eagle Eye","Item UAV SAS disk #1","1","01:23:41","01:23:46",
Bot55,"agavalda",normal,12,Completed,"Eagle Eye","Zone place_peacemaker_004_N1","1","01:23:51","01:23:55",
Bot55,"agavalda",normal,12,Failed,"Eagle Eye","Item UAV SAS disk #2","1","01:24:00","01:25:13",
Bot55,"agavalda",normal,12,Completed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N1","1","01:25:18","01:30:16",
Bot55,"agavalda",normal,12,Completed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N2","1","01:30:21","01:38:44",
Bot55,"agavalda",normal,12,Active,"Spa Tour - Part 5","Item Key to the closed premises of the Health Resort","1","01:38:49","N/A",
Bot56,"Massivesoft",normal,8,Pending,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #7","1","01:23:41","N/A",
Bot49,"Gatsu66",normal,20,Active,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","01:23:41","N/A",
