Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #2","1","00:25:28","00:26:16",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #1","1","00:26:21","00:26:34",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #3","1","00:26:39","00:27:47",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #9","1","00:27:52","00:28:29",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #10","1","00:28:34","00:29:07",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #6","1","00:29:12","00:29:52",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #7","1","00:29:57","00:30:29",
Bot15,"Props",normal,1,Completed,"Construction","Construction: Objective #5","1","00:30:34","00:31:16",
Bot15,"Props",normal,1,Completed,"Sparja","Sparja: Objective #1","1","00:31:21","00:32:22",
Bot15,"Props",normal,1,Completed,"Sparja","Sparja: Objective #2","1","00:32:27","00:33:12",
Bot15,"Props",normal,1,Completed,"Sparja","Sparja: Objective #5","1","00:33:17","00:33:25",
Bot15,"Props",normal,1,Completed,"Sparja","Sparja: Objective #3","1","00:33:30","00:33:46",
Bot15,"Props",normal,1,Failed,"Sparja","Sparja: Objective #6","1","00:33:51","00:33:51",
Bot15,"Props",normal,1,Completed,"Sparja","Sparja: Objective #4","1","00:33:56","00:34:06",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #4","1","00:34:11","00:35:00",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #5","1","00:35:05","00:35:09",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #3","1","00:35:15","00:35:21",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #2","1","00:35:26","00:36:07",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #1","1","00:36:13","00:36:32",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #6","1","00:36:37","00:37:01",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #7","1","00:37:06","00:37:33",
Bot15,"Props",normal,1,Completed,"Checkannaya 15","Checkannaya 15: Objective #8","1","00:37:38","00:37:43",
Bot15,"Props",normal,1,Failed,"IT Firm Office","IT Firm Office: Objective #3","1","00:37:48","00:38:23",
Bot19,"T90Commander",normal,30,Failed,"Broadcast - Part 5","Zone quest_zone_find_2st_mech","1","00:25:28","00:29:50",
Bot16,"matt",normal,27,Failed,"Surveillance","Item Working hard drive","1","00:25:28","00:25:38",
Bot16,"matt",normal,27,Failed,"Road Closed","Zone quest_zone_c16_koll_2","1","00:25:43","00:39:30",
Bot17,"gansik",normal,28,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","00:25:28","00:26:15",
Bot17,"gansik",normal,28,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent2","1","00:26:20","00:30:38",
Bot17,"gansik",normal,28,Failed,"The Door","Zone quest_zone_hide_sillent2","1","00:30:43","00:31:01",
Bot18,"Fiaf",normal,14,Failed,"Population Census","Item Housing office journal","1","00:25:28","00:28:22",
Bot25,"Lavax",normal,4,Active,"Primorsky Courtyard","Primorsky Courtyard: Objective #2","1","00:25:29","N/A",
Bot24,"Anthal",normal,29,Failed,"The Door","Zone quest_zone_hide_sillent","1","00:25:30","00:25:43",
Bot24,"Anthal",normal,29,Failed,"The Door","Zone quest_zone_find_sillent","1","00:25:48","00:26:32",
Bot24,"Anthal",normal,29,Pending,"The Door","Zone quest_zone_hide_sillent2","1","00:26:37","N/A",
Bot24,"Anthal",normal,29,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent2","1","00:26:59","00:34:02",
Bot24,"Anthal",normal,29,Completed,"Pets Won't Need It - Part 1","Zone quest_zone_find_2st_med_invent1","1","00:34:07","00:35:27",
Bot24,"Anthal",normal,29,Completed,"Road Closed","Zone quest_zone_c16_koll_2","1","00:35:32","00:40:07",
Bot24,"Anthal",normal,29,Completed,"Road Closed","Zone quest_zone_c16_koll_1","1","00:40:12","00:40:38",
Bot24,"Anthal",normal,29,Completed,"Ballet Lover","Zone quest_zone_c5_mar","1","00:40:44","00:41:44",
Bot24,"Anthal",normal,29,Completed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","00:41:49","00:42:27",
Bot24,"Anthal",normal,29,Active,"Pets Won't Need It - Part 2","Zone Pharma_2","1","00:42:32","N/A",
