Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"BlackDeathGER",normal,23,Completed,"Steady Signal","Zone q14_8_2","1","00:32:59","00:35:28",
Bot4,"BlackDeathGER",normal,23,Completed,"Steady Signal","Zone q14_8_3","1","00:35:33","00:37:25",
Bot4,"BlackDeathGER",normal,23,Active,"Steady Signal","Zone q14_8_1","1","00:37:31","N/A",
Bot5,"TimmyGG",normal,29,Pending,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","00:32:59","N/A",
Bot12,"Агафон Окурок (Thunderbags)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","00:36:24","00:36:56",
Bot12,"Агафон Окурок (Thunderbags)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","00:37:01","00:37:34",
Bot12,"Агафон Окурок (Thunderbags)",normal,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","00:37:39","00:38:30",
Bot12,"Агафон Окурок (Thunderbags)",normal,1,Pending,"Old Sawmill","Old Sawmill: Objective #1","1","00:38:35","N/A",
Bot13,"Nightingale",normal,4,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","00:37:15","N/A",
Bot16,"SlejmUr",normal,4,Active,"Introduction","Zone huntsman_001","1","00:37:48","N/A",
