Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Fortress","Fortress: Objective #4","1","20:12:27","20:18:54",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Fortress","Fortress: Objective #8","3","20:18:59","20:22:54",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Fortress","Fortress: Objective #2","1","20:22:59","20:23:22",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Fortress","Fortress: Objective #1","1","20:23:27","20:23:59",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Container Building","Container Building: Objective #1","1","20:24:04","20:28:10",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Completed,"Container Building","Container Building: Objective #2","1","20:28:16","20:28:26",
Bot5,"Протасий Руссиано (hacker228)",normal,1,Active,"Repair Shop","Repair Shop: Objective #6","1","20:28:31","N/A",
Bot7,"weardo98",normal,13,Archived,"Factory Shacks","Factory Shacks: Objective #1","1","20:12:40","20:12:46",
Bot7,"weardo98",normal,13,Completed,"Skeleton","Skeleton: Objective #2","1","20:12:51","20:13:39",
Bot7,"weardo98",normal,13,Completed,"Skeleton","Skeleton: Objective #1","1","20:13:44","20:14:07",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #2","1","20:14:12","20:19:59",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #4","1","20:20:04","20:20:16",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #1","1","20:20:21","20:20:48",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #5","1","20:20:53","20:21:36",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #7","1","20:21:42","20:22:22",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #3","1","20:22:27","20:23:04",
Bot7,"weardo98",normal,13,Completed,"Crackhouse","Crackhouse: Objective #6","2","20:23:09","20:23:54",
Bot7,"weardo98",normal,13,Completed,"Warehouse 17","Warehouse 17: Objective #1","1","20:23:59","20:26:15",
Bot7,"weardo98",normal,13,Active,"Big Red","Big Red: Objective #4","1","20:26:20","N/A",
Bot8,"VirtualHex",normal,22,Pending,"Fortress","Fortress: Objective #3","1","20:12:40","N/A",
Bot10,"HB",normal,16,Pending,"Short Cut","Short Cut: Objective #1","1","20:13:26","N/A",
Bot11,"kwebber321",normal,6,Pending,"Short Cut","Short Cut: Objective #1","1","20:13:26","N/A",
Bot9,"pitAlex",normal,16,Completed,"Power Switch","Power Switch: Objective #1","2","20:13:26","20:13:41",
