Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"iDkGK",normal,7,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","01:26:59","01:27:50",
Bot4,"Ratthew",normal,1,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","01:26:59","01:27:23",
Bot5,"Zersus",normal,24,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","01:26:59","01:28:52",
Bot5,"Zersus",normal,24,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","01:28:57","01:30:30",
Bot5,"Zersus",normal,24,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","01:30:35","01:32:38",
Bot2,"IvanTheThicc",normal,1,Completed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","01:26:59","01:28:05",
Bot2,"IvanTheThicc",normal,1,Completed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","01:28:06","01:31:15",
Bot2,"IvanTheThicc",normal,1,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","2","01:31:20","01:33:50",
Bot2,"IvanTheThicc",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","01:33:56","01:34:13",
Bot2,"IvanTheThicc",normal,1,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","01:34:18","01:34:25",
Bot2,"IvanTheThicc",normal,1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","01:34:30","01:34:30",
Bot2,"IvanTheThicc",normal,1,Failed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","01:34:35","01:34:37",
Bot2,"IvanTheThicc",normal,1,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","01:34:38","01:34:38",
Bot2,"IvanTheThicc",normal,1,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","01:34:43","01:34:43",
Bot2,"IvanTheThicc",normal,1,Failed,"Break Room","Break Room: Objective #1","1","01:34:48","01:34:48",
Bot2,"IvanTheThicc",normal,1,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","01:34:53","01:34:53",
Bot2,"IvanTheThicc",normal,1,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","01:34:58","01:34:58",
Bot6,"SovietWalrus",normal,4,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","01:26:59","01:27:36",
